learner,anchors,openmlid,slopes,is_nonmonotonic64,is_nonmonotonic256,is_nonmonotonic
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1620]",914,"[0.0017813106779311172, 0.0020741563567891193, 0.0014786615830880499, 4.0449576495952755e-06, 0.00034318197851961643, 8.499866358189629e-05, -0.0005817591324198213, 7.430547099509094e-05, 0.0001215461424593921, -0.00019124584595914222, -5.475900810893858e-07, -8.549040440227115e-05, 4.4779220779220805e-05, -5.6842105263158e-05]",TRUE,FALSE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 810]",917,"[-0.014659934730619882, -0.006919747513924197, 0.0034175599090546633, 0.00430274889206016, 0.0024977814099552535, 0.0013581680941045593, 0.0007682392971737509, 0.0004651194128700895, 0.00027788619638115366, 0.00016013636613255978, -2.8628536250570093e-05, 4.940886823294699e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1085]",966,"[-0.00022016079158936302, 3.0352223534041693e-05, 8.593099632815791e-05, 0.00034142342965750016, 0.00027383622494052856, 0.000652980434588352, 0.0002088428547457382, -2.4581142270245156e-05, 4.361949265404712e-05, 4.781124915483953e-07, 3.8810400550046865e-06, 2.4376735068928318e-05, -3.6103896103896134e-05, -6.6165413533834676e-06]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1399]",991,"[-0.009002896219158216, 0.0009004518873720579, 0.0008604067973372544, 0.0009832093090764204, 0.00022877919590609321, 0.00033174384674335426, -0.00010886576027125786, -7.041864386383306e-05, 7.264984812778018e-05, 8.795048348413785e-06, 2.2877753444983193e-05, 4.021807648829832e-05, -6.348051948051954e-05, -2.1353383458646637e-06]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 156]",1448,"[-0.0030465157487437663, -0.0009693174377108837, -0.00010422154636147341, 0.0008284351157880324, 0.0015679348728145593, 0.0010555745877990244, 0.0007003262042518552, 0.0007545329561382348]",TRUE,,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 100]",1450,"[-0.006907389990941043, -0.0023509147174423308, -4.95888748756153e-05, 0.0018133831735902518, 0.002588168024721488, 0.0011148173699190005]",TRUE,,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 85]",1465,"[-0.007376138707339809, 0.012630664366284136, 0.01088893691613386, 0.004992702212952083, 0.002540781329168706, 0.0017586961581308844]",TRUE,,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 157]",1488,"[-0.0019808329637383553, 0.00011016706024562978, 0.0023146811065959598, 0.002487533236859461, 0.0011962304322371937, 0.00011067066641342817, 0.00026364145197418085, 6.59711514699893e-05]",TRUE,,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 181, 256, 362, 512, 724, 1024, 1448, 2048, 2896, 4096, 4376]",1489,"[0.007332005567226261, 0.005360453848188859, 0.0016265462168565988, 0.0015079224632756861, 0.00035028873182928465, 0.00018763506283309077, 3.240964651682118e-05, 9.249170765571166e-05, 1.0887405468649256e-05, -4.4065914703180846e-05, 8.426729202191591e-05, 4.43011915201022e-05, -5.283116883116886e-05, 0.00013215584415584422, 6.877922077922083e-05, -1.4129870129870139e-05, -1.1948051948052016e-06, 5.076691729323312e-05]",TRUE,TRUE,TRUE
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"[16, 23, 32, 45, 64, 91, 128, 170]",1499,"[0.000292557132308685, 0.0010274503476412522, 0.0005348942719886833, 0.00011282467602751392, 0.00060594547601737, 1.0295547477216206e-05, 1.9910119782062264e-05, -2.2922697636193462e-05]",TRUE,,TRUE
